Price,MethodOfSale,PropertyType,DistanceFromCBD,Rooms,Bathroom,Car,Landsize,Latitude,Longtitude,Suburb,Date,StreetName
1480000.0,1,1,2.5,2,1,1,202.0,-37.7996,144.9984,Abbotsford,3/12/2016,Turner St
1035000.0,1,1,2.5,2,1,0,156.0,-37.8079,144.9934,Abbotsford,4/02/2016,Bloomburg St
1465000.0,2,1,2.5,3,2,0,134.0,-37.8093,144.9944,Abbotsford,4/03/2017,Charles St
850000.0,3,1,2.5,3,2,1,94.0,-37.7969,144.9969,Abbotsford,4/03/2017,Federation La
1600000.0,6,1,2.5,4,1,2,120.0,-37.8072,144.9941,Abbotsford,4/06/2016,Park St
941000.0,1,1,2.5,2,1,0,181.0,-37.8041,144.9953,Abbotsford,7/05/2016,Charles St
1876000.0,1,1,2.5,3,2,0,245.0,-37.8024,144.9993,Abbotsford,7/05/2016,Yarra St
1636000.0,1,1,2.5,2,1,2,256.0,-37.806,144.9954,Abbotsford,8/10/2016,Charles St
1097000.0,1,1,2.5,2,1,2,220.0,-37.801,144.9989,Abbotsford,8/10/2016,Valiant St
1350000.0,6,1,2.5,3,2,2,214.0,-37.8085,144.9964,Abbotsford,12/11/2016,Nicholson St
1172500.0,1,1,2.5,2,1,1,195.0,-37.8084,144.9973,Abbotsford,13/08/2016,William St
1310000.0,1,1,2.5,2,1,2,238.0,-37.809,144.9976,Abbotsford,15/10/2016,William St
1200000.0,1,1,2.5,3,2,1,113.0,-37.8056,144.993,Abbotsford,16/07/2016,Henry St
1176500.0,1,1,2.5,3,1,1,138.0,-37.8021,144.9965,Abbotsford,16/07/2016,Yarra St
955000.0,1,1,2.5,3,1,0,183.0,-37.8022,144.9975,Abbotsford,17/09/2016,Nicholson St
890000.0,1,1,2.5,2,1,1,150.0,-37.8011,145.0004,Abbotsford,17/09/2016,Valiant St
1330000.0,3,1,2.5,4,2,2,780.0,-37.8073,144.9952,Abbotsford,18/03/2017,Charles St
1090000.0,1,2,2.5,3,2,2,4290.0,-37.8078,144.9965,Abbotsford,18/03/2017,Nicholson St
1100000.0,3,1,2.5,2,2,1,124.0,-37.8079,144.9977,Abbotsford,18/06/2016,William St
1315000.0,1,1,2.5,2,1,0,147.0,-37.808,144.994,Abbotsford,19/11/2016,Park St
1447500.0,3,1,2.5,3,3,1,166.0,-37.8017,145.0001,Abbotsford,22/08/2016,Abbotsford St
1135000.0,1,1,2.5,2,2,2,98.0,-37.8005,144.9952,Abbotsford,22/08/2016,Park St
1290000.0,1,1,2.5,3,2,2,147.0,-37.805,144.9943,Abbotsford,25/02/2017,Gipps St
1290000.0,1,1,2.5,3,1,1,168.0,-37.8007,144.9958,Abbotsford,25/02/2017,Stafford St
1180000.0,1,1,2.5,2,1,0,162.0,-37.8016,144.9956,Abbotsford,27/11/2016,Studley St
1195000.0,2,1,2.5,3,2,1,120.0,-37.8022,144.9954,Abbotsford,27/11/2016,Yarra St
1012500.0,1,1,2.5,2,1,0,182.0,-37.8021,144.9976,Abbotsford,28/05/2016,Nicholson St
1030000.0,1,1,2.5,2,1,1,172.0,-37.8086,144.9946,Abbotsford,30/07/2016,Charles St
840000.0,3,3,13.5,3,2,1,303.0,-37.718,144.878,Airport West,3/09/2016,Halsey Rd
603000.0,1,1,13.5,2,1,1,272.0,-37.7294,144.888,Airport West,4/03/2017,Hart St
700000.0,1,3,13.5,3,2,2,239.0,-37.7218,144.8837,Airport West,4/03/2017,Hawker St
600000.0,1,1,13.5,3,1,1,290.0,-37.7273,144.8744,Airport West,4/03/2017,Hillside Gr
500000.0,6,2,13.5,2,1,1,168.0,-37.7215,144.8864,Airport West,4/03/2017,Mcintosh St
720000.0,1,1,13.5,3,1,1,620.0,-37.7173,144.8872,Airport West,6/08/2016,Marshall Rd
785000.0,1,1,13.5,4,1,2,597.0,-37.7259,144.8792,Airport West,6/08/2016,Roberts Rd
725000.0,2,1,13.5,6,3,2,976.0,-37.7239,144.8735,Airport West,7/05/2016,Harrington Rd
450000.0,1,3,13.5,2,1,1,110.0,-37.7216,144.871,Airport West,7/05/2016,Parer Rd
515000.0,1,2,13.5,2,1,1,141.0,-37.7298,144.8883,Airport West,7/11/2016,Hart St
530000.0,1,2,13.5,2,1,1,120.0,-37.7234,144.8792,Airport West,10/09/2016,Clydesdale Rd
895000.0,3,1,13.5,3,1,6,1063.0,-37.7249,144.8728,Airport West,10/09/2016,Deidre Ct
752000.0,1,2,13.5,3,1,1,265.0,-37.7302,144.8855,Airport West,11/02/2017,Cameron St
440000.0,1,2,13.5,2,1,1,192.0,-37.7177,144.8787,Airport West,13/08/2016,Victory Rd
755000.0,3,1,13.5,5,2,2,596.0,-37.7248,144.8699,Airport West,14/05/2016,Parer Rd
700000.0,3,3,13.5,3,2,2,165.0,-37.727,144.887,Airport West,15/10/2016,Earl St
830000.0,1,1,13.5,3,1,2,971.0,-37.7186,144.876,Airport West,16/04/2016,Parer Rd
462500.0,1,2,13.5,2,1,1,164.0,-37.7218,144.8863,Airport West,16/07/2016,Hawker St
670000.0,2,1,13.5,3,2,2,657.0,-37.7269,144.8742,Airport West,16/07/2016,Hillside Gr
675000.0,1,1,13.5,2,1,1,612.0,-37.7187,144.8765,Airport West,16/07/2016,Parer Rd
1042000.0,1,1,13.5,3,2,5,612.0,-37.7173,144.8796,Airport West,16/07/2016,Victory Rd
910000.0,1,1,13.5,3,1,1,775.0,-37.7231,144.8835,Airport West,17/09/2016,King St
773000.0,1,1,13.5,4,3,4,531.0,-37.7263,144.8679,Airport West,17/09/2016,Kittyhawk St
810000.0,3,1,13.5,3,3,2,555.0,-37.7285,144.8694,Airport West,18/03/2017,Fullarton Rd
715000.0,1,1,13.5,3,2,2,422.0,-37.7164,144.8792,Airport West,18/03/2017,Marshall Rd
790000.0,1,1,13.5,3,1,3,614.0,-37.7194,144.8827,Airport West,18/03/2017,Parer Rd
540000.0,2,3,13.5,3,2,1,161.0,-37.7231,144.8802,Airport West,18/06/2016,South Rd
825000.0,2,3,13.5,3,2,1,293.0,-37.72,144.8776,Airport West,19/11/2016,North St
685000.0,1,1,13.5,3,1,1,579.0,-37.7226,144.8733,Airport West,22/05/2016,Hilbert Rd
805000.0,1,1,13.5,3,1,1,623.0,-37.7184,144.882,Airport West,22/08/2016,Halsey Rd
510000.0,1,2,13.5,2,1,1,141.0,-37.7202,144.8797,Airport West,22/08/2016,North St
612000.0,1,1,13.5,3,2,1,212.0,-37.7181,144.8824,Airport West,22/08/2016,Victory Rd
662000.0,1,1,13.5,3,1,2,612.0,-37.7169,144.8815,Airport West,23/04/2016,Marshall Rd
978000.0,1,1,13.5,4,3,2,532.0,-37.7263,144.869,Airport West,24/09/2016,Moorna Dr
720000.0,3,1,13.5,3,1,1,585.0,-37.72,144.878,Airport West,25/02/2017,North St
765000.0,1,1,13.5,4,1,2,509.0,-37.7261,144.8785,Airport West,27/11/2016,Roberts Rd
900000.0,1,1,13.5,4,2,3,628.0,-37.7256,144.8739,Airport West,27/11/2016,Roberts Rd
1275000.0,1,1,3.3,2,1,0,120.0,-37.8459,144.9555,Albert Park,3/09/2016,Kerferd Rd
1455000.0,1,1,3.3,2,1,0,159.0,-37.845,144.9538,Albert Park,3/09/2016,Richardson St
2850000.0,3,1,3.3,3,2,0,211.0,-37.8481,144.9499,Albert Park,4/03/2017,Beaconsfield Pde
1850000.0,1,1,3.3,3,2,0,128.0,-37.8452,144.9488,Albert Park,4/03/2017,Graham St
1436000.0,1,1,3.3,2,1,0,130.0,-37.8431,144.9565,Albert Park,4/03/2017,Montague St
1110000.0,1,1,3.3,2,1,0,147.0,-37.8444,144.9484,Albert Park,6/08/2016,Graham St
1550000.0,1,1,3.3,2,1,1,167.0,-37.8405,144.9521,Albert Park,7/05/2016,Brooke St
2300000.0,1,1,3.3,4,2,1,153.0,-37.8447,144.9523,Albert Park,7/05/2016,Richardson St
1550000.0,6,3,3.3,3,2,2,718.0,-37.8443,144.9598,Albert Park,7/11/2016,Mills St
1800000.0,6,1,3.3,3,2,1,132.0,-37.8415,144.952,Albert Park,7/11/2016,Moubray St
2120000.0,1,1,3.3,2,1,1,199.0,-37.8422,144.9554,Albert Park,10/09/2016,Faussett St
1800000.0,6,1,3.3,3,1,1,253.0,-37.8443,144.9579,Albert Park,10/09/2016,Herbert St
1800000.0,1,1,3.3,3,2,1,90.0,-37.8421,144.9571,Albert Park,10/09/2016,Kerferd Pl
1810000.0,3,1,3.3,2,1,0,240.0,-37.8379,144.9539,Albert Park,10/12/2016,Draper St
