Price,Method,Type,Distance,Rooms,Bathroom,Car,Landsize,Propertycount,Suburb,Street,Date
1480000.0,S,H,2.5,2.0,1.0,1.0,202.0,4019.0,Abbotsford,Turner,3/12/2016
1035000.0,S,H,2.5,2.0,1.0,0.0,156.0,4019.0,Abbotsford,Bloomburg,4/02/2016
1465000.0,SP,H,2.5,3.0,2.0,0.0,134.0,4019.0,Abbotsford,Charles,4/03/2017
850000.0,PI,H,2.5,3.0,2.0,1.0,94.0,4019.0,Abbotsford,Federation,4/03/2017
1600000.0,VB,H,2.5,4.0,1.0,2.0,120.0,4019.0,Abbotsford,Park,4/06/2016
941000.0,S,H,2.5,2.0,1.0,0.0,181.0,4019.0,Abbotsford,Charles,7/05/2016
1876000.0,S,H,2.5,3.0,2.0,0.0,245.0,4019.0,Abbotsford,Yarra,7/05/2016
1636000.0,S,H,2.5,2.0,1.0,2.0,256.0,4019.0,Abbotsford,Charles,8/10/2016
300000.0,S,U,2.5,1.0,1.0,1.0,0.0,4019.0,Abbotsford,Nicholson,8/10/2016
1097000.0,S,H,2.5,2.0,1.0,2.0,220.0,4019.0,Abbotsford,Valiant,8/10/2016
700000.0,VB,U,2.5,2.0,2.0,1.0,0.0,4019.0,Abbotsford,Grosvenor,12/11/2016
1350000.0,VB,H,2.5,3.0,2.0,2.0,214.0,4019.0,Abbotsford,Nicholson,12/11/2016
750000.0,S,U,2.5,2.0,2.0,1.0,0.0,4019.0,Abbotsford,Nicholson,12/11/2016
1172500.0,S,H,2.5,2.0,1.0,1.0,195.0,4019.0,Abbotsford,William,13/08/2016
441000.0,SP,U,2.5,1.0,1.0,1.0,0.0,4019.0,Abbotsford,Abbotsford,14/05/2016
1310000.0,S,H,2.5,2.0,1.0,2.0,238.0,4019.0,Abbotsford,William,15/10/2016
1200000.0,S,H,2.5,3.0,2.0,1.0,113.0,4019.0,Abbotsford,Henry,16/07/2016
1176500.0,S,H,2.5,3.0,1.0,1.0,138.0,4019.0,Abbotsford,Yarra,16/07/2016
955000.0,S,H,2.5,3.0,1.0,0.0,183.0,4019.0,Abbotsford,Nicholson,17/09/2016
890000.0,S,H,2.5,2.0,1.0,1.0,150.0,4019.0,Abbotsford,Valiant,17/09/2016
1330000.0,PI,H,2.5,4.0,2.0,2.0,780.0,4019.0,Abbotsford,Charles,18/03/2017
900000.0,S,T,2.5,3.0,2.0,2.0,0.0,4019.0,Abbotsford,Nicholson,18/03/2017
1090000.0,S,U,2.5,3.0,2.0,2.0,4290.0,4019.0,Abbotsford,Nicholson,18/03/2017
500000.0,S,U,2.5,2.0,1.0,1.0,0.0,4019.0,Abbotsford,Nicholson,18/06/2016
1100000.0,PI,H,2.5,2.0,2.0,1.0,124.0,4019.0,Abbotsford,William,18/06/2016
1315000.0,S,H,2.5,2.0,1.0,0.0,147.0,4019.0,Abbotsford,Park,19/11/2016
426000.0,SP,U,2.5,1.0,1.0,1.0,0.0,4019.0,Abbotsford,Abbotsford,22/08/2016
1447500.0,PI,H,2.5,3.0,3.0,1.0,166.0,4019.0,Abbotsford,Abbotsford,22/08/2016
